date_of_birth,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,movie,person
05-ιπε-00,1,Na,1,Straight,1,1939,1,Best Actress,Jezebel,Bette Davis
05-ιπε-00,1,Roman Catholic,1,Straight,1,1940,1,Best Actress,Gone with the Wind,Vivien Leigh
16-ιπε-00,1,Christian Science,0.9597,Straight,1,1941,1,Best Actress,Kitty Foyle,Ginger Rogers
22-ιπε-00,1,Na,1,Straight,1,1940,1,Best Actress,Suspicion,Joan Fontaine
29-ιπε-00,1,Na,1,Straight,1,1942,1,Best Actress,Mrs. Miniver,Greer Garson
02-ιπε-00,1,Roman Catholic,1,Straight,1,1944,1,Best Actress,The Song of Bernadette,Jennifer Jones
29-ιπε-00,1,Na,1,Straight,1,1945,1,Best Actress,Gaslight,Ingrid Bergman
23-ιπε-00,1,Christian Science,1,Bisexual,1,1946,1,Best Actress,Mildred Pierce,Joan Crawford
01-ιπε-00,1,Na,1,Straight,1,1947,1,Best Actress,To Each His Own,Olivia de Havilland
06-ιπε-00,1,Roman Catholic,1,Straight,1,1948,1,Best Actress,The Farmer's Daughter,Loretta Young
05-ιπε-00,1,Roman Catholic,1,Straight,1,1949,1,Best Actress,Johnny Belinda,Jane Wyman
01-ιπε-00,1,Na,1,Straight,1,1950,1,Best Actress,The Heiress,Olivia de Havilland
21-ιπε-00,1,Na,1,Straight,1,1951,1,Best Actress,Born Yesterday,Judy Holliday
05-ιπε-00,1,Roman Catholic,1,Straight,1,1952,1,Best Actress,A Streetcar Named Desire,Vivien Leigh
30-Aug-1898,1,Na,1,Straight,1,1953,1,Best Actress,"Come Back, Little Sheba",Shirley Booth
04-ιπε-00,1,Christian Science,1,Straight,1,1954,1,Best Actress,Roman Holiday,Audrey Hepburn
12-ιπε-00,1,Roman Catholic,1,Straight,1,1955,1,Best Actress,The Country Girl,Grace Kelly
07-ιπε-00,1,Na,1,Straight,1,1956,1,Best Actress,The Rose Tattoo,Anna Magnani
29-ιπε-00,1,Na,1,Straight,1,1957,1,Best Actress,Anastasia,Ingrid Bergman
27-ιπε-00,1,Na,1,Straight,1,1958,1,Best Actress,The Three Faces of Eve,Joanne Woodward
30-ιπε-00,1,Roman Catholic,1,Straight,1,1959,1,Best Actress,I Want To Live!,Susan Hayward
25-ιπε-00,1,Na,1,Straight,1,1960,1,Best Actress,Room at the Top,Simone Signoret
27-ιπε-00,1,Jewish,1,Straight,1,1961,1,Best Actress,Butterfield 8,Elizabeth Taylor
20-ιπε-00,1,Roman Catholic,1,Straight,1,1962,1,Best Actress,Two Women,Sophia Loren
17-ιπε-00,1,Roman Catholic,1,Straight,1,1963,1,Best Actress,The Miracle Worker,Anne Bancroft
20-ιπε-00,1,Roman Catholic,1,Straight,1,1964,1,Best Actress,Hud,Patricia Neal
01-ιπε-00,1,Na,1,Straight,1,1965,1,Best Actress,Mary Poppins,Julie Andrews
14-ιπε-00,1,Na,1,Straight,1,1966,1,Best Actress,Darling,Julie Christie
27-ιπε-00,1,Jewish,1,Straight,1,1967,1,Best Actress,Who's Afraid of Virginia Woolf?,Elizabeth Taylor
12-ιπε-00,1,Atheist,1,Bisexual,1,1968,1,Best Actress,Guess Who's Coming to Dinner,Katharine Hepburn
24-ιπε-00,1,Jewish,1,Straight,1,1969,0.6897,Best Actress,Funny Girl,Barbra Streisand
12-ιπε-00,1,Atheist,1,Bisexual,1,1969,1,Best Actress,The Lion in Winter,Katharine Hepburn
28-ιπε-00,1,Na,1,Straight,1,1970,1,Best Actress,The Prime of Miss Jean Brodie,Maggie Smith
09-ιπε-00,1,Na,1,Straight,1,1971,1,Best Actress,Women in Love,Glenda Jackson
21-ιπε-00,1,Born-Again Christian,1,Straight,1,1972,1,Best Actress,Klute,Jane Fonda
12-ιπε-00,1,Na,1,Na,1,1973,1,Best Actress,Cabaret,Liza Minnelli
09-ιπε-00,1,Na,1,Straight,1,1974,1,Best Actress,A Touch of Class,Glenda Jackson
07-ιπε-00,1,Sufism,0.3333,Straight,1,1975,1,Best Actress,Alice Doesn't Live Here Anymore,Ellen Burstyn
22-ιπε-00,1,Na,1,Straight,1,1976,1,Best Actress,One Flew Over the Cuckoo's Nest,Louise Fletcher
14-ιπε-00,1,Roman Catholic,1,Straight,0.9599,1977,1,Best Actress,Network,Faye Dunaway
05-ιπε-00,1,Atheist,1,Straight,1,1978,1,Best Actress,Annie Hall,Diane Keaton
21-ιπε-00,1,Born-Again Christian,1,Straight,1,1979,1,Best Actress,Coming Home,Jane Fonda
06-ιπε-00,1,Na,1,Straight,1,1980,1,Best Actress,Norma Rae,Sally Field
25-ιπε-00,1,Na,0.6897,Straight,1,1981,1,Best Actress,Coal Miner's Daughter,Sissy Spacek
12-ιπε-00,1,Atheist,1,Bisexual,1,1982,1,Best Actress,On Golden Pond,Katharine Hepburn
22-ιπε-00,1,Na,1,Straight,1,1983,1,Best Actress,Sophie's Choice,Meryl Streep
24-ιπε-00,1,Baptist,1,Straight,1,1984,1,Best Actress,Terms of Endearment,Shirley MacLaine
06-ιπε-00,1,Na,1,Straight,1,1985,1,Best Actress,Places in the Heart,Sally Field
22-ιπε-00,1,Na,1,Straight,1,1986,1,Best Actress,The Trip to Bountiful,Geraldine Page
24-ιπε-00,1,Jewish,1,Straight,1,1987,1,Best Actress,Children of a Lesser God,Marlee Matlin
20-ιπε-00,1,Na,1,Bisexual,1,1988,1,Best Actress,Moonstruck,Cher
19-ιπε-00,1,Atheist,1,Lesbian,1,1989,1,Best Actress,The Accused,Jodie Foster
07-ιπε-00,1,Na,1,Straight,1,1990,1,Best Actress,Driving Miss Daisy,Jessica Tandy
28-ιπε-00,1,Na,1,Straight,1,1991,1,Best Actress,Misery,Kathy Bates
19-ιπε-00,1,Atheist,1,Lesbian,1,1992,1,Best Actress,The Silence of the Lambs,Jodie Foster
15-ιπε-00,1,Na,1,Straight,1,1993,1,Best Actress,Howards End,Emma Thompson
20-ιπε-00,1,Na,1,Straight,1,1994,1,Best Actress,The Piano,Holly Hunter
20-ιπε-00,1,Na,1,Straight,1,1995,1,Best Actress,Blue Sky,Jessica Lange
04-ιπε-00,1,Roman Catholic,1,Straight,1,1996,1,Best Actress,Dead Man Walking,Susan Sarandon
23-ιπε-00,1,Disciples of Christ,1,Straight,1,1997,1,Best Actress,Fargo,Frances McDormand
15-ιπε-00,1,Na,1,Straight,1,1998,1,Best Actress,As Good As It Gets,Helen Hunt
27-ιπε-00,1,Jewish,1,Straight,1,1999,1,Best Actress,Shakespeare in Love,Gwyneth Paltrow
30-ιπε-00,1,Na,1,Straight,1,2000,1,Best Actress,Boys Don't Cry,Hilary Swank
28-ιπε-00,1,Hindu,1,Straight,1,2001,1,Best Actress,Erin Brockovich,Julia Roberts
14-ιπε-00,1,Na,1,Straight,1,2002,1,Best Actress,Monster's Ball,Halle Berry
20-ιπε-00,1,Roman Catholic,1,Straight,1,2003,1,Best Actress,The Hours,Nicole Kidman
07-ιπε-00,1,Na,1,Straight,1,2004,1,Best Actress,Monster,Charlize Theron
30-ιπε-00,1,Na,1,Straight,1,2005,1,Best Actress,Million Dollar Baby,Hilary Swank
22-ιπε-00,1,Na,1,Straight,1,2006,1,Best Actress,Walk the Line,Reese Witherspoon
26-ιπε-00,1,Na,1,Straight,1,2007,1,Best Actress,The Queen,Helen Mirren
30-ιπε-00,1,Na,1,Straight,1,2008,1,Best Actress,The Passionate Life of Edith Piaf,Marion Cotillard
05-ιπε-00,1,Na,1,Straight,1,2009,1,Best Actress,The Reader,Kate Winslet
26-ιπε-00,1,Na,1,Straight,1,2010,1,Best Actress,The Blind Side,Sandra Bullock
09-ιπε-00,1,Jewish,1,Straight,1,2011,1,Best Actress,Black Swan,Natalie Portman
22-ιπε-00,1,Na,1,Straight,1,2012,1,Best Actress,The Iron Lady,Meryl Streep
15-ιπε-00,1,Na,1,Na,1,2013,0.6667,Best Actress,Silver Linings Playbook,Jennifer Lawrence
14-ιπε-00,1,Na,1,Straight,1,2014,1,Best Actress,Blue Jasmine,Cate Blanchett
15-Feb-1899,1,Na,1,Straight,1,1937,1,Best Supporting Actress,Anthony Adverse,Gale Sondergaard
2-Nov-1892,1,Na,1,Straight,1,1938,1,Best Supporting Actress,In Old Chicago,Alice Brady
7-Dec-1891,1,Na,1,Straight,1,1939,1,Best Supporting Actress,Jezebel,Fay Bainter
10-Jun-1893,1,Christian,1,Matter of Dispute,1,1940,1,Best Supporting Actress,Gone with the Wind,Hattie McDaniel
15-Oct-1879,1,Na,1,Straight,1,1941,1,Best Supporting Actress,The Grapes of Wrath,Jane Darwell
03-ιπε-00,1,Roman Catholic,1,Straight,1,1942,1,Best Supporting Actress,The Great Lie,Mary Astor
27-ιπε-00,1,Na,1,Straight,0.6667,1943,1,Best Supporting Actress,Mrs. Miniver,Teresa Wright
17-ιπε-00,1,Na,1,Straight,1,1944,1,Best Supporting Actress,For Whom the Bell Tolls,Katina Paxinou
15-Aug-1879,1,Roman Catholic,1,Straight,1,1945,1,Best Supporting Actress,None but the Lonely Heart,Ethel Barrymore
25-ιπε-00,1,Na,1,Straight,1,1946,1,Best Supporting Actress,National Velvet,Anne Revere
07-ιπε-00,1,Na,1,Straight,1,1947,1,Best Supporting Actress,The Razor's Edge,Anne Baxter
29-ιπε-00,1,Na,0.6897,Straight,1,1948,1,Best Supporting Actress,Gentleman's Agreement,Celeste Holm
08-ιπε-00,1,Na,1,Straight,1,1949,1,Best Supporting Actress,Key Largo,Claire Trevor
17-ιπε-00,1,Roman Catholic,1,Straight,1,1950,1,Best Supporting Actress,All the King's Men,Mercedes McCambridge
3-Jan-1886,1,Na,1,Straight,1,1951,1,Best Supporting Actress,Harvey,Josephine Hull
12-ιπε-00,1,Na,0.6897,Straight,1,1952,1,Best Supporting Actress,A Streetcar Named Desire,Kim Hunter
28-ιπε-00,1,Na,1,Straight,1,1953,1,Best Supporting Actress,The Bad and the Beautiful,Gloria Grahame
27-ιπε-00,1,Na,1,Straight,1,1954,1,Best Supporting Actress,From Here to Eternity,Donna Reed
04-ιπε-00,1,Na,1,Straight,1,1955,1,Best Supporting Actress,On the Waterfront,Eva Marie Saint
30-ιπε-00,1,Na,1,Straight,1,1956,1,Best Supporting Actress,East of Eden,Jo Van Fleet
30-ιπε-00,1,Na,1,Straight,1,1957,1,Best Supporting Actress,Written on the Wind,Dorothy Malone
03-ιπε-00,1,Na,1,Straight,1,1958,1,Best Supporting Actress,Sayonara,Miyoshi Umeki
15-ιπε-00,1,Na,1,Straight,1,1959,1,Best Supporting Actress,Separate Tables,Wendy Hiller
18-ιπε-00,1,Jewish,1,Straight,1,1960,1,Best Supporting Actress,The Diary of Anne Frank,Shelley Winters
31-ιπε-00,1,Methodist,1,Straight,1,1961,1,Best Supporting Actress,Elmer Gantry,Shirley Jones
11-ιπε-00,1,Na,1,Straight,1,1962,1,Best Supporting Actress,West Side Story,Rita Moreno
14-ιπε-00,1,Roman Catholic,1,Straight,1,1963,1,Best Supporting Actress,The Miracle Worker,Patty Duke
11-May-1892,1,Na,1,Straight,1,1964,1,Best Supporting Actress,the V.I.P.s,Margaret Rutherford
09-ιπε-00,1,Na,1,Straight,1,1965,1,Best Supporting Actress,Zorba the Greek,Lila Kedrova
18-ιπε-00,1,Jewish,1,Straight,1,1966,1,Best Supporting Actress,A Patch of Blue,Shelley Winters
27-ιπε-00,1,Na,1,Bisexual,1,1967,1,Best Supporting Actress,Who's Afraid of Virginia Woolf?,Sandy Dennis
20-ιπε-00,1,Na,1,Straight,1,1968,1,Best Supporting Actress,Bonnie and Clyde,Estelle Parsons
30-Oct-1896,1,Na,1,Straight,1,1969,1,Best Supporting Actress,Rosemary's Baby,Ruth Gordon
21-ιπε-00,1,Buddhist,1,Straight,1,1970,1,Best Supporting Actress,Cactus Flower,Goldie Hawn
10-ιπε-00,1,Na,1,Straight,1,1971,1,Best Supporting Actress,Airport,Helen Hayes
30-ιπε-00,1,Na,1,Straight,1,1972,1,Best Supporting Actress,The Last Picture Show,Cloris Leachman
29-ιπε-00,1,Na,1,Straight,1,1973,1,Best Supporting Actress,Butterflies Are Free,Eileen Heckart
05-ιπε-00,1,Na,1,Straight,1,1974,1,Best Supporting Actress,Paper Moon,Tatum O'Neal
29-ιπε-00,1,Na,1,Straight,1,1975,1,Best Supporting Actress,Murder on the Orient Express,Ingrid Bergman
31-ιπε-00,0.9594,Jewish,1,Straight,1,1976,1,Best Supporting Actress,Shampoo,Lee Grant
02-ιπε-00,1,Na,1,Straight,1,1977,1,Best Supporting Actress,Network,Beatrice Straight
30-ιπε-00,1,Na,1,Straight,1,1978,1,Best Supporting Actress,Julia,Vanessa Redgrave
28-ιπε-00,1,Na,1,Straight,1,1979,1,Best Supporting Actress,California Suite,Maggie Smith
22-ιπε-00,1,Na,1,Straight,1,1980,1,Best Supporting Actress,Kramer vs. Kramer,Meryl Streep
08-ιπε-00,1,Na,1,Straight,1,1981,1,Best Supporting Actress,Melvin and Howard,Mary Steenburgen
21-ιπε-00,1,Roman Catholic,1,Straight,1,1982,1,Best Supporting Actress,Reds,Maureen Stapleton
20-ιπε-00,1,Na,1,Straight,1,1983,1,Best Supporting Actress,Tootsie,Jessica Lange
02-ιπε-00,1,Na,1,Na,0.6857,1984,1,Best Supporting Actress,The Year of Living Dangerously,Linda Hunt
22-ιπε-00,1,Agnostic,1,Straight,1,1985,1,Best Supporting Actress,A Passage to India,Peggy Ashcroft
08-ιπε-00,1,Na,1,Straight,1,1986,1,Best Supporting Actress,Prizzi's Honor,Anjelica Huston
28-ιπε-00,1,Na,1,Straight,1,1987,1,Best Supporting Actress,Hannah and Her Sisters,Dianne Wiest
20-ιπε-00,1,Na,1,Straight,1,1988,1,Best Supporting Actress,Moonstruck,Olympia Dukakis
21-ιπε-00,1,Congregationalist,1,Straight,1,1989,1,Best Supporting Actress,The Accidental Tourist,Geena Davis
17-ιπε-00,1,Na,1,Straight,1,1990,1,Best Supporting Actress,My Left Foot,Brenda Fricker
13-ιπε-00,1,Atheist,1,Straight,1,1991,1,Best Supporting Actress,Ghost,Whoopi Goldberg
28-ιπε-00,1,Roman Catholic,1,Straight,1,1992,1,Best Supporting Actress,The Fisher King,Mercedes Ruehl
04-ιπε-00,1,Na,1,Straight,1,1993,1,Best Supporting Actress,My Cousin Vinny,Marisa Tomei
24-ιπε-00,1,Na,1,Bisexual,1,1994,1,Best Supporting Actress,The Piano,Anna Paquin
28-ιπε-00,1,Na,1,Straight,1,1995,1,Best Supporting Actress,Bullets Over Broadway,Dianne Wiest
28-ιπε-00,1,Atheist,1,Straight,1,1996,1,Best Supporting Actress,Mighty Aphrodite,Mira Sorvino
09-ιπε-00,1,Na,1,Straight,1,1997,1,Best Supporting Actress,The English Patient,Juliette Binoche
08-ιπε-00,1,Na,1,Straight,1,1998,1,Best Supporting Actress,L.A. Confidential,Kim Basinger
09-ιπε-00,1,Quaker,1,Straight,1,1999,1,Best Supporting Actress,Shakespeare in Love,Judi Dench
04-ιπε-00,1,Buddhist,1,Bisexual,1,2000,1,Best Supporting Actress,"Girl, Interrupted",Angelina Jolie
14-ιπε-00,1,Na,1,Straight,1,2001,0.9195,Best Supporting Actress,Pollock,Marcia Gay Harden
12-ιπε-00,1,Jewish,1,Straight,1,2002,1,Best Supporting Actress,A Beautiful Mind,Jennifer Connelly
25-ιπε-00,1,Roman Catholic,1,Straight,1,2003,1,Best Supporting Actress,Chicago,Catherine Zeta-Jones
25-ιπε-00,1,Na,1,Straight,0.6667,2004,1,Best Supporting Actress,Cold Mountain,RenΜ©e Zellweger
14-ιπε-00,1,Na,1,Straight,1,2005,1,Best Supporting Actress,The Aviator,Cate Blanchett
07-ιπε-00,1,Jewish,1,Straight,1,2006,1,Best Supporting Actress,The Constant Gardener,Rachel Weisz
12-ιπε-00,1,Baptist,1,Straight,1,2007,1,Best Supporting Actress,Dreamgirls,Jennifer Hudson
05-ιπε-00,1,Na,1,Straight,1,2007,1,Best Supporting Actress,Michael Clayton,Tilda Swinton
28-ιπε-00,1,Buddhist,1,Straight,1,2009,1,Best Supporting Actress,Vicky Cristina Barcelona,Penelope Cruz
11-ιπε-00,1,Na,1,Straight,1,2010,1,Best Supporting Actress,Precious,Mo'Nique
14-ιπε-00,1,Na,1,Straight,1,2011,1,Best Supporting Actress,The Fighter,Melissa Leo
25-ιπε-00,1,Na,1,Na,1,2012,1,Best Supporting Actress,The Help,Octavia Spencer
12-ιπε-00,1,Christian,1,Straight,1,2013,1,Best Supporting Actress,Les MisΜ©rables,Anne Hathaway
01-ιπε-00,1,Na,1,Na,1,2014,1,Best Supporting Actress,12 Years a Slave,Lupita Nyong'o
22-ιπε-00,1,Jewish,1,Straight,1,1961,1,Best Director,The Apartment,Billy Wilder
16-ιπε-00,1,Christian Science,1,Straight,1,1941,1,Best Actress,Kitty Foyle,Ginger Rogers
09-ιπε-00,1,Born-Again Christian,1,Straight,1,1994,1,Best Actor,Philadelphia,Tom Hanks
03-ιπε-00,1,Na,1,Straight,1,1979,0.6667,Best Director,The Deer Hunter,Michael Cimino
03-ιπε-00,1,Roman Catholic,1,Straight,1,1942,1,Best Supporting Actress,The Great Lie,Mary Astor
04-ιπε-00,1,Buddhist,1,Bisexual,1,2000,1,Best Supporting Actress,"Girl, Interrupted",Angelina Jolie
31-ιπε-00,1,Jewish,1,Straight,1,1976,1,Best Supporting Actress,Shampoo,Lee Grant
25-ιπε-00,1,Na,1,Straight,1,1946,1,Best Supporting Actress,National Velvet,Anne Revere
14-ιπε-00,1,Roman Catholic,1,Straight,1,1977,1,Best Actress,Network,Faye Dunaway
13-ιπε-00,1,Na,1,Straight,1,1943,1,Best Supporting Actor,Johnny Eager,Van Heflin
27-ιπε-00,1,Na,1,Straight,1,1958,1,Best Actress,The Three Faces of Eve,Joanne Woodward
07-ιπε-00,1,Roman Catholic,1,Straight,1,1953,1,Best Actor,High Noon,Gary Cooper
27-ιπε-00,1,Jewish,1,Straight,1,1967,1,Best Actress,Who's Afraid of Virginia Woolf?,Elizabeth Taylor
30-ιπε-00,1,Na,1,Straight,1,2005,1,Best Actress,Million Dollar Baby,Hilary Swank
30-ιπε-00,1,Na,1,Straight,1,2005,1,Best Actress,Million Dollar Baby,Hilary Swank
27-ιπε-00,1,Jewish,1,Straight,1,1999,1,Best Actress,Shakespeare in Love,Gwyneth Paltrow
16-ιπε-00,1,Na,1,Na,1,1969,1,Best Supporting Actor,The Subject Was Roses,Jack Albertson
11-ιπε-00,1,Na,1,Straight,1,2010,1,Best Supporting Actress,Precious,Mo'Nique
14-ιπε-00,1,Na,1,Straight,1,2001,1,Best Supporting Actress,Pollock,Marcia Gay Harden
28-ιπε-00,1,Na,1,Straight,1,1970,1,Best Actress,The Prime of Miss Jean Brodie,Maggie Smith
07-ιπε-00,1,Jewish,1,Straight,1,2006,0.6857,Best Supporting Actress,The Constant Gardener,Rachel Weisz
20-ιπε-00,1,Roman Catholic,1,Straight,1,2009,1,Best Director,Slumdog Millionaire,Danny Boyle
26-ιπε-00,1,Na,1,Straight,1,1977,1,Best Supporting Actor,All the President's Men,Jason Robards
31-ιπε-00,1,Na,1,Straight,1,1999,1,Best Supporting Actor,Affliction,James Coburn
05-ιπε-00,1,Na,1,Straight,1,1949,1,Best Director,The Treasure of the Sierra Madre,John Huston
