date_of_birth,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,movie,person
06-ιπε-00,1,Jewish,0.6667,Straight,1,1989,1,Best Director,Rain Man,Barry Levinson
15-ιπε-00,1,Atheist,1,Straight,1,1990,1,Best Director,Born on the Fourth of July,Oliver Stone
18-ιπε-00,1,Baptist,1,Straight,1,1991,1,Best Director,Dances with Wolves,Kevin Costner
22-ιπε-00,1,Na,1,Straight,1,1992,1,Best Director,The Silence of the Lambs,Jonathan Demme
31-ιπε-00,1,Na,1,Straight,1,1993,1,Best Director,Unforgiven,Clint Eastwood
18-ιπε-00,1,Jewish,1,Straight,1,1994,1,Best Director,Schindler's List,Steven Spielberg
14-ιπε-00,1,Roman Catholic,1,Straight,1,1995,0.6923,Best Director,Forrest Gump,Robert Zemeckis
03-ιπε-00,1,Roman Catholic,1,Straight,1,1996,1,Best Director,Braveheart,Mel Gibson
06-ιπε-00,1,Na,1,Straight,1,1997,1,Best Director,The English Patient,Anthony Minghella
16-ιπε-00,1,Atheist,0.6667,Straight,1,1998,1,Best Director,Titanic,James Cameron
18-ιπε-00,1,Jewish,1,Straight,1,1999,1,Best Director,Saving Private Ryan,Steven Spielberg
01-ιπε-00,1,Na,1,Straight,1,2000,1,Best Director,American Beauty,Sam Mendes
14-ιπε-00,1,Atheist,1,Straight,1,2001,1,Best Director,Traffic,Steven Soderbergh
01-ιπε-00,1,Na,1,Straight,1,2002,1,Best Director,A Beautiful Mind,Ron Howard
18-ιπε-00,1,See Note,0.3333,Straight,1,2003,1,Best Director,The Pianist,Roman Polanski
31-ιπε-00,1,Na,1,Straight,1,2004,1,Best Director,The Lord of the Rings: Return of the King,Peter Jackson
31-ιπε-00,1,Na,1,Straight,1,2005,1,Best Director,Million Dollar Baby,Clint Eastwood
23-ιπε-00,1,Na,1,Straight,1,2006,1,Best Director,Brokeback Mountain,Ang Lee
17-ιπε-00,1,Roman Catholic,1,Straight,1,2007,1,Best Director,The Departed,Martin Scorsese
21-ιπε-00,1,Jewish,1,Straight,1,2008,1,Best Director,No Country for Old Men,Ethan Coen
20-ιπε-00,1,Roman Catholic,0.9624,Straight,1,2009,0.9643,Best Director,Slumdog Millionaire,Danny Boyle
27-ιπε-00,1,Na,1,Straight,1,2009,1,Best Director,The Hurt Locker,Kathryn Bigelow
1972,1,Na,1,Na,1,2011,1,Best Director,The King's Speech,Tom Hooper
29-ιπε-00,1,Jewish,1,Straight,1,2012,1,Best Director,The Artist,Michel Hazanavicius
23-ιπε-00,1,Na,1,Straight,1,2013,1,Best Director,Life of Pi,Ang Lee
23-Jul-1884,1,Na,1,Bisexual,1,1929,1,Best Actor,The Last Command,Emil Jannings
29-Mar-1889,1,Na,1,Straight,1,1930,1,Best Actor,In Old Arizona,Warner Baxter
10-Apr-1868,1,Na,0.6897,Straight,1,1930,1,Best Actor,Desraeli,George Arliss
28-Apr-1878,1,Roman Catholic,1,Straight,1,1931,1,Best Actor,A Free Soul,Lionel Barrymore
1-Apr-1885,1,Na,1,Straight,1,1932,1,Best Actor,The Champ,Wallace Beery
1-Jul-1899,1,Roman Catholic,1,Gay,1,1934,1,Best Actor,The Private Life of Henry VIII,Charles Laughton
