date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,movie,person
29-מרץ-67,White,Jewish,Straight,2012,The Artist,Michel Hazanavicius
23-אוק-54,Asian,Na,Straight,2013,Life of Pi,Ang Lee
23-Jul-1884,White,Na,Bisexual,1929,The Last Command,Emil Jannings
29-Mar-1889,White,Na,Straight,1930,In Old Arizona,Warner Baxter
10-Apr-1868,White,Na,Straight,1930,Desraeli,George Arliss
28-Apr-1878,White,Roman Catholic,Straight,1931,A Free Soul,Lionel Barrymore
1-Apr-1885,White,Na,Straight,1932,The Champ,Wallace Beery
1-Jul-1899,White,Roman Catholic,Gay,1934,The Private Life of Henry VIII,Charles Laughton
01-פבר-01,White,Na,Straight,1935,It Happened One Night,Clark Gable
11-Dec-1883,White,Anglican/episcopalian,Straight,1936,The Informer,Victor McLaglen
22-Sep-1895,White,Jewish,Straight,1937,The Story of Louis Pasteur,Paul Muni
05-אפר-00,White,Roman Catholic,Straight,1938,Captains Courageous,Spencer Tracy
05-אפר-00,White,Roman Catholic,Straight,1939,Boys Town,Spencer Tracy
18-מרץ-05,White,Na,Straight,1940,Goodbye Mr. Chips,Robert Donat
20-מאי-08,White,Presbyterian,Straight,1941,The Philadelphia Story,Jimmy Stewart
07-מאי-01,White,Roman Catholic,Straight,1942,Sergeant York,Gary Cooper
17-Jul-1899,White,Roman Catholic,Straight,1943,Yankee Doodle Dandy,James Cagney
26-May-1887,White,Na,Straight,1944,Watch on the Rhine,Paul Lukas
03-מאי-03,White,Roman Catholic,Straight,1945,Going My Way,Bing Crosby
03-ינו-07,White,Na,Straight,1946,The Lost Weekend,Ray Milland
31-Aug-1897,White,Na,Straight,1947,The Best Years of Our Lives,Fredric March
9-Feb-1891,White,Na,Straight,1948,A Double Life,Ronald Colman
22-מאי-07,White,Na,Bisexual,1949,Hamlet,Laurence Olivier
09-דצמ-11,White,Na,Straight,1950,All The King's Men,Broderick Crawford
08-ינו-09,Hispanic,Na,Straight,1951,Cyrano de Bergerac,Jose Ferrer
25-Dec-1899,White,Na,Straight,1952,The Africa Queen,Humphrey Bogart
07-מאי-01,White,Roman Catholic,Straight,1953,High Noon,Gary Cooper
17-אפר-18,White,Na,Straight,1954,Stalag 17,William Holden
03-אפר-24,White,Deist,Bisexual,1955,On the Waterfront,Marlon Brando
24-ינו-17,White,Na,Straight,1956,Marty,Ernest Borgnine
11-יול-20,White,Na,Straight,1957,The King and I,Yul Brynner
02-אפר-14,White,Roman Catholic,Bisexual,1958,The Bridge on the River Kwai,Alec Guinness
01-מרץ-09,White,Na,Straight,1959,Separate Tables,David Niven
04-אוק-23,White,Protestant,Straight,1960,Ben-hur,Charlton Heston
02-נוב-13,White,Protestant,Straight,1961,Elmer Gantry,Burt Lancaster
08-דצמ-30,White,Na,Straight,1962,Judgement at Nuremberg,Maximilian Schell
05-אפר-16,White,Roman Catholic,Straight,1963,To Kill a Mockingbird,Gregory Peck
20-פבר-27,Black,Deist,Straight,1964,Lilies of the Field,Sidney Poitier
05-מרץ-08,White,Na,Straight,1965,My Fair Lady,Rex Harrison
19-פבר-24,White,Na,Straight,1966,Cat Ballou,Lee Marvin
21-ינו-22,White,Na,Straight,1967,A Man For All Seasons,Paul Scofield
14-אפר-25,White,Lutheran,Straight,1968,In the Heat of the Night,Rod Steiger
09-ספט-23,White,Na,Straight,1969,Charly,Cliff Robertson
26-מאי-07,White,Roman Catholic,Straight,1970,True Grit,John Wayne
18-אוק-27,White,Na,Straight,1971,Patton,George C. Scott
30-ינו-30,White,Na,Straight,1972,The French Connection,Gene Hackman
03-אפר-24,White,Deist,Bisexual,1973,The Godfather,Marlon Brando
08-פבר-25,White,Roman Catholic,Straight,1974,Save the Tiger,Jack Lemmon
04-נוב-18,White,Na,Straight,1975,Harry and Tonto,Art Carney
22-אפר-37,White,Atheist,Straight,1976,One Flew Over the Cuckoo's Nest,Jack Nicholson
28-ספט-16,White,Na,Straight,1977,Network,Peter Finch
29-אוק-47,White,Jewish,Straight,1978,The Goodbye Girl,Richard Dreyfuss
29-דצמ-38,White,Roman Catholic,Straight,1979,Coming Home,Jon Voight
08-אוג-37,White,Jewish,Straight,1980,Kramer vs. Kramer,Dustin Hoffman
17-אוג-43,White,Roman Catholic,Straight,1981,Raging Bull,Robert De Niro
16-מאי-05,White,Na,Straight,1982,On Golden Pond,Henry Fonda
